reporting_period,project_id,project_county,project_city,project_zip,electric_utility,project_completion_date,total_project_cost,pre_retrofit_home_heating_fuel_type,size_of_home,number_of_units,job_type,type_of_dwelling,measure_type,estimated_annual_kwh_savings,estimated_annual_mmbtu_savings,first_year_modeled_project_energy_savings_estimate,location_1,:@computed_region_yamh_8v7k,:@computed_region_wbg7_3whc,:@computed_region_kjdx_g34t,year_home_built,gas_utility
2021-01-30T00:00:00.000,420887,Oswego,Oswego,13126,National Grid,2019-08-29T00:00:00.000,1014,Kerosene,Report SF less than 800,1,Home Performance,Mobile,Building Shell,510,3,155,"{'latitude': '43.440456', 'longitude': '-76.474421', 'human_address': '{""address"": """", ""city"": ""Oswego"", ""state"": ""NY"", ""zip"": ""13126""}'}",232,667,2135,1977,
2021-01-30T00:00:00.000,350694,Cayuga,Cato,13033,Rochester Gas & Electric,2018-06-28T00:00:00.000,4769,Oil,"1,024",1,Home Performance,Single Family,Building Shell,0,37,837,"{'latitude': '43.185873', 'longitude': '-76.568173', 'human_address': '{""address"": """", ""city"": ""Cato"", ""state"": ""NY"", ""zip"": ""13033""}'}",80,352,618,,
2021-01-30T00:00:00.000,370532,Monroe,Rochester,14615,Rochester Gas & Electric,2019-04-08T00:00:00.000,1684,Natural Gas,"1,432",1,Home Performance,Single Family,Building Shell,410,6,92,"{'latitude': '43.204816', 'longitude': '-77.65384', 'human_address': '{""address"": """", ""city"": ""Rochester"", ""state"": ""NY"", ""zip"": ""14615""}'}",548,1674,2093,1931,Rochester Gas & Electric
2021-01-30T00:00:00.000,365547,Onondaga,Syracuse,13204,National Grid,2018-12-06T00:00:00.000,4351,Natural Gas,"1,222",1,Home Performance,Single Family,Building Shell,510,39,425,"{'latitude': '43.0503', 'longitude': '-76.174991', 'human_address': '{""address"": """", ""city"": ""Syracuse"", ""state"": ""NY"", ""zip"": ""13204""}'}",687,713,2132,,National Grid
2021-01-30T00:00:00.000,392661,Madison,Oneida,13421,National Grid,2019-08-02T00:00:00.000,6327,Natural Gas,"1,200",1,Home Performance,Single Family,Building Shell,1006,25,308,"{'latitude': '43.076187', 'longitude': '-75.649101', 'human_address': '{""address"": """", ""city"": ""Oneida"", ""state"": ""NY"", ""zip"": ""13421""}'}",122,1280,2092,1921,National Grid
2021-01-30T00:00:00.000,388913,Richmond,Staten Island,10306,Consolidated Edison,2019-05-21T00:00:00.000,479,Natural Gas,"1,350",1,Electric Reduction,Single Family,Building Shell,343,1,90,"{'latitude': '40.568821', 'longitude': '-74.11862', 'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10306""}'}",585,609,2139,,National Grid
2021-01-30T00:00:00.000,430530,Monroe,Rochester,14609,Rochester Gas & Electric,2019-11-15T00:00:00.000,6164,Natural Gas,"1,047",1,Home Performance,Single Family,Building Shell,510,28,288,"{'latitude': '43.175867', 'longitude': '-77.559147', 'human_address': '{""address"": """", ""city"": ""Rochester"", ""state"": ""NY"", ""zip"": ""14609""}'}",537,1667,2093,,Rochester Gas & Electric
2021-01-30T00:00:00.000,388533,Chemung,Horseheads,14845,New York State Electric & Gas,2019-01-21T00:00:00.000,5908,Natural Gas,828,1,Home Performance,Mobile,Building Shell,510,28,349,"{'latitude': '42.190415', 'longitude': '-76.835145', 'human_address': '{""address"": """", ""city"": ""Horseheads"", ""state"": ""NY"", ""zip"": ""14845""}'}",478,1783,2036,1982,New York State Electric & Gas
2021-01-30T00:00:00.000,364137,Saratoga,Greenfield Center,12833,National Grid,2019-01-15T00:00:00.000,6675,Kerosene,980,1,Home Performance,Mobile,Building Shell,0,19,494,"{'latitude': '43.135043', 'longitude': '-73.851854', 'human_address': '{""address"": """", ""city"": ""Greenfield Center"", ""state"": ""NY"", ""zip"": ""12833""}'}",1004,95,2141,,
2021-01-30T00:00:00.000,414696,Tioga,Waverly,14892,Municipal,2020-01-06T00:00:00.000,6836,Propane,Report SF less than 800,1,Home Performance,Mobile,Building Shell,301,25,388,"{'latitude': '42.034064', 'longitude': '-76.528603', 'human_address': '{""address"": """", ""city"": ""Waverly"", ""state"": ""NY"", ""zip"": ""14892""}'}",58,920,630,,
2021-01-30T00:00:00.000,319988,Queens,Queens,11412,Consolidated Edison,2018-02-23T00:00:00.000,6621,Natural Gas,"1,984",1,Home Performance,Single Family,Building Shell,1143,47,840,"{'latitude': '40.698064', 'longitude': '-73.759234', 'human_address': '{""address"": """", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11412""}'}",196,851,2137,,National Grid
2021-01-30T00:00:00.000,406558,Bronx,The Bronx,10456,Consolidated Edison,2019-06-03T00:00:00.000,529,Natural Gas,"1,057",1,Electric Reduction,Single Family,Building Shell,301,1,80,"{'latitude': '40.830652', 'longitude': '-73.908566', 'human_address': '{""address"": """", ""city"": ""The Bronx"", ""state"": ""NY"", ""zip"": ""10456""}'}",307,652,2032,,National Grid
2021-01-30T00:00:00.000,334985,Niagara,Ransomville,14131,National Grid,2018-02-20T00:00:00.000,4515,Natural Gas,"1,408",1,Home Performance,Single Family,Building Shell,0,25,241,"{'latitude': '43.233782', 'longitude': '-78.904622', 'human_address': '{""address"": """", ""city"": ""Ransomville"", ""state"": ""NY"", ""zip"": ""14131""}'}",156,1106,2131,,National Fuel Gas Distribution
